Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
1503960366,3/25/2016,11004,7.110000134,7.110000134,0,2.569999933,0.460000008,4.070000172,0,33,12,205,804,1819
1503960366,3/26/2016,17609,11.55000019,11.55000019,0,6.920000076,0.730000019,3.910000086,0,89,17,274,588,2154
1503960366,3/27/2016,12736,8.529999733,8.529999733,0,4.659999847,0.159999996,3.710000038,0,56,5,268,605,1944
1503960366,3/28/2016,13231,8.930000305,8.930000305,0,3.190000057,0.790000021,4.949999809,0,39,20,224,1080,1932
1503960366,3/29/2016,12041,7.849999905,7.849999905,0,2.160000086,1.090000033,4.610000134,0,28,28,243,763,1886
1503960366,3/30/2016,10970,7.159999847,7.159999847,0,2.359999895,0.50999999,4.289999962,0,30,13,223,1174,1820
1503960366,3/31/2016,12256,7.860000134,7.860000134,0,2.289999962,0.49000001,5.039999962,0,33,12,239,820,1889
1503960366,04-01-2016,12262,7.869999886,7.869999886,0,3.319999933,0.829999983,3.640000105,0,47,21,200,866,1868
1503960366,04-02-2016,11248,7.25,7.25,0,3,0.449999988,3.74000001,0,40,11,244,636,1843
1503960366,04-03-2016,10016,6.369999886,6.369999886,0,0.910000026,1.279999971,4.179999828,0,15,30,314,655,1850
1503960366,04-04-2016,14557,9.800000191,9.800000191,0,3.390000105,0.699999988,5.690000057,0,43,18,285,757,2030
1503960366,04-05-2016,14844,9.729999542,9.729999542,0,2.940000057,0.75999999,6.039999962,0,36,18,341,736,2083
1503960366,04-06-2016,11974,7.670000076,7.670000076,0,2.039999962,0.479999989,5.150000095,0,27,12,228,1173,1861
1503960366,04-07-2016,10198,6.440000057,6.440000057,0,1.200000048,0.790000021,4.449999809,0,17,20,195,1208,1755
1503960366,04-08-2016,12521,7.940000057,7.940000057,0,3.309999943,0.899999976,3.74000001,0,46,22,212,1160,1895
1503960366,04-09-2016,12432,8.100000381,8.100000381,0,2.589999914,0.589999974,4.920000076,0,32,15,248,738,1883
1503960366,04-10-2016,10057,6.980000019,6.980000019,0,4,0.49000001,2.480000019,0,44,13,168,737,1755
1503960366,04-11-2016,10990,7.260000229,7.260000229,0,2.039999962,0.569999993,4.650000095,0,26,14,216,855,1811
1503960366,04-12-2016,224,0.140000001,0.140000001,0,0,0,0.129999995,0,0,0,9,32,50
1624580081,3/25/2016,1810,1.179999948,1.179999948,0,0,0,1.129999995,0.01,0,0,121,1319,1373
1624580081,3/26/2016,815,0.529999971,0.529999971,0,0,0,0.529999971,0,0,0,47,1393,1264
1624580081,3/27/2016,1985,1.289999962,1.289999962,0,0,0,1.279999971,0.01,0,0,112,1328,1350
1624580081,3/28/2016,1905,1.24000001,1.24000001,0,0,0,1.24000001,0,0,0,95,1345,1342
1624580081,3/29/2016,1552,1.00999999,1.00999999,0,0,0,1,0,0,0,66,1374,1300
1624580081,3/30/2016,1675,1.090000033,1.090000033,0,0,0,1.090000033,0,0,0,84,1356,1313
1624580081,3/31/2016,4506,2.930000067,2.930000067,0,0.50999999,0.270000011,2.150000095,0.01,7,4,144,1285,1498
1624580081,04-01-2016,9218,5.989999771,5.989999771,0,0,0,5.96999979,0.01,0,0,221,1219,1541
1624580081,04-02-2016,1556,1.00999999,1.00999999,0,0,0,1.00999999,0.01,0,0,88,1352,1327
1624580081,04-03-2016,2910,1.889999986,1.889999986,0,0,0,1.879999995,0.01,0,0,157,1283,1452
1624580081,04-04-2016,18464,12,12,0,0,0,12,0,0,0,270,1170,1574
1624580081,04-05-2016,1335,0.870000005,0.870000005,0,0,0,0.870000005,0,0,0,74,1366,1308
1624580081,04-06-2016,1004,0.649999976,0.649999976,0,0,0,0.649999976,0,0,0,55,1385,1276
1624580081,04-07-2016,1111,0.720000029,0.720000029,0,0,0,0.720000029,0,0,0,54,1386,1278
1624580081,04-08-2016,6344,4.119999886,4.119999886,0,0,0,4.099999905,0,0,0,143,1297,1409
1624580081,04-09-2016,3572,2.319999933,2.319999933,0,0,0,2.289999962,0.029999999,0,0,122,1318,1370
1624580081,04-10-2016,3910,2.539999962,2.539999962,0,0.469999999,0.25,1.809999943,0.01,7,7,186,1240,1555
1624580081,04-11-2016,10000,6.5,6.5,0,0,0,6.5,0,0,0,172,1268,1469
1624580081,04-12-2016,6627,4.309999943,4.309999943,0,0,0,4.309999943,0,0,0,89,604,706
